LandProvince;SeaZone;x;y;
dagaal_mwamin;dagaal_mwamin;11365;2506;x
qasri_almadeheda;anbennar1448;11377;2323;x
magaalad_qasr;magaalad_qasr;11354;2305;x
magurisadaqaa;magurisadaqaa;11456;2556;x
qasri_abeesooyinka;qasri_abeesooyinka;10807;3076;x
pumzish_haayo;pumzish_haayo;11909;3103;x
ardim_qarast;ardim_qarast;11880;2890;x
cape_medron;anbennar1328;12366;2916;x
coriokot;anbennar1330;12107;2625;x
elsine;anbennar1329;12328;2724;x
magdalena;anbennar1446;12020;2055;x
armanhal;anbennar1330;11950;2564;x
shorrageed;anbennar1331;12450;2116;x
rasthanas;rasthanas;12375;2093;x
sant_galaal;anbennar1446;12282;2055;x
jaylaansland;anbennar1446;12128;2032;x
port_marcan;port_marcan;12040;2055;x
cape_lokke;cape_lokke;11962;1997;x
port_qayn;anbennar1447;11857;1994;x
arthapowani;anbennar1447;11781;2015;x
aslinwatch;anbennar1331;12450;2271;x
carcharor_isle;carcharor_isle;12162;1889;x
isles_of_dha;anbennar1331;12430;2079;x
paxet_keidgaz;sandspite_gulf;8264;4863;x
southern_sandspite;the_endless_abyss;17;1520;x
northern_sandspite;the_endless_abyss;17;1520;x
qasri_murayhd;unused125;11514;2617;x
shipsmashed;shipsmashed;7464;3964;x
anbennar6129;unused76;8375;3094;x
anbennar6130;unused75;8948;2745;x
anbennar6131;anbennar1627;8389;2719;x
port_berkhen;port_berkhen;8331;2774;x
arca_sarai;anbennar1627;8226;2652;x
voyagers_coast;anbennar1627;8328;2657;x
sinwauk;unused115;12503;3527;x
salayuti;lungdou_coast;12407;3553;x
lanobuk;fohei_sea;12587;3469;x
panhenaw;lungdou_coast;12433;3577;x
uyan;uyan;12477;3775;x
taldaayo;unused111;12602;3891;x
leboyuti;unused112;12602;3763;x
gitinalas;gitinalas;12698;3437;x
inahmang;unused113;12608;3615;x
angamang;unused115;12645;3516;x
ilauti;boufeng_islands;12762;3411;x
kalamga;kalamga;12576;3533;x
kasimga;kasimga;12523;3615;x
anbennar6150;the_endless_abyss;17;1520;x
dagasag;unused114;12439;3679;x
awauta;fohei_sea;12584;3382;x
batamis;batamis;12485;3681;x
anbennar6154;anbennar3650;13649;4610;x
anbennar6155;anbennar3652;13693;4685;x
anbennar6156;anbennar3585;13588;4703;x
anbennar6157;anbennar6157;13661;4842;x
anbennar6158;anbennar3649;13762;4860;x
anbennar6159;anbennar6159;13693;4959;x
anbennar6160;anbennar6160;13762;5017;x
anbennar6161;anbennar6858;13890;5244;x
anbennar6162;anbennar6162;13882;5090;x
anbennar6163;anbennar3632;14184;5378;x
anbennar6164;anbennar6164;13995;5087;x
anbennar6166;anbennar3645;14106;5055;x
anbennar6167;anbennar3648;13806;4938;x
anbennar6169;anbennar3646;13879;4921;x
anbennar6170;anbennar3649;13824;4839;x
anbennar6172;anbennar6172;13870;4970;x
anbennar6174;anbennar3646;13946;4932;x
anbennar6176;anbennar1402;14053;4921;x
anbennar6177;anbennar3645;14091;4996;x
anbennar6178;anbennar6178;13975;5023;x
anbennar6179;anbennar6179;13585;4639;x
anbennar6180;anbennar3640;14417;5273;x
anbennar6181;anbennar1402;14123;4924;x
anbennar6182;anbennar6182;13617;4787;x
anbennar6183;anbennar3642;14350;5063;x
anbennar6184;anbennar6184;14225;4921;x
anbennar6185;anbennar3644;14269;5133;x
anbennar6186;anbennar3639;14597;5258;x
anbennar6188;anbennar6188;14298;4941;x
anbennar6189;anbennar1399;14397;5133;x
anbennar6190;anbennar1399;14466;5063;x
anbennar6191;anbennar6191;14420;5191;x
anbennar6193;anbennar6193;14362;5209;x
anbennar6194;anbennar6194;14496;5348;x
anbennar6195;anbennar3638;14653;5380;x
anbennar6197;anbennar3638;14786;5395;x
anbennar6199;anbennar6199;14545;5052;x
anbennar6200;anbennar3650;13582;4514;x
anbennar6201;anbennar6201;14272;4999;x
anbennar6203;anbennar3640;14484;5191;x
anbennar6204;anbennar6204;14530;5226;x
anbennar6205;anbennar6205;14548;5133;x
anbennar6206;anbennar6206;14368;4720;x
anbennar6207;anbennar3649;13710;4778;x
anbennar6209;anbennar1410;14670;5151;x
anbennar6210;anbennar6210;14752;5220;x
anbennar6212;anbennar6212;14656;5314;x
anbennar6213;anbennar3637;14798;5258;x
anbennar6215;anbennar3637;14833;5322;x
anbennar6216;anbennar3660;14848;5186;x
anbennar6217;anbennar3640;14446;5290;x
anbennar6218;anbennar3637;14909;5366;x
anbennar6219;anbennar3660;14976;5183;x
anbennar6221;anbennar6221;14906;5194;x
anbennar6222;anbennar3635;15066;5238;x
anbennar6224;anbennar3636;15022;5270;x
anbennar6225;anbennar3637;14906;5247;x
anbennar6226;anbennar3639;14577;5346;x
anbennar6227;anbennar3637;14917;5314;x
anbennar6228;anbennar3636;14996;5325;x
anbennar6229;anbennar3636;15040;5328;x
anbennar6230;anbennar3636;15089;5287;x
anbennar6231;anbennar3635;15211;5218;x
anbennar6232;anbennar3635;15255;5162;x
anbennar6233;anbennar1407;15319;5194;x
anbennar6234;anbennar6234;15528;4851;x
anbennar6235;anbennar1400;15461;5026;x
south_toreiel;anbennar1403;15848;4403;x
north_toreiel;anbennar1403;15988;4743;x
anbennar6265;fjordsbay;7793;7367;x
draelheim;draelheim;7962;7082;x
rainbow_cove;anbennar1466;8363;3641;x
raddack;raddack;8666;3748;x
princess_margotta_island;anbennar1467;8101;3961;x
rialore;anbennar1466;8148;3850;x
anbennar6482;anbennar3564;13614;3268;x
kiindthamus;sunset_approach;6414;2285;x
the_rim;the_rim;5341;4173;x
the_rim;modslivern;4061;5802;x
jerkhizuuri;jerkhich_islands;14004;7306;x
jerkhazuura;jerkhich_islands;14173;7146;x
kottar_orenkoraim;katal_koraim;5050;2314;x
rienstore;anbennar1330;12005;2561;x
graygrave;graygrave;11930;2451;x
djinnsland;anbennar1447;11618;2201;x
barakat;unused125;11581;2742;x
otasaire;anbennar1328;12290;2957;x
hortosare;hortosare;12098;3036;x
wattokasri;wattokasri;12194;2975;x
verenpier;anbennar1330;11938;2509;x
hab_alta;anbennar1330;11874;2460;x
newthicket;anbennar1447;11694;2081;x
ardimtelava;anbennar1329;12194;2803;x
new_harasclide;anbennar1329;12162;2719;x
cascost;cascost;12317;2355;x
sant_aadan;sant_aadan;12029;2463;x
port_samaan;anbennar1331;12418;2128;x
stonethrow;anbennar1447;11618;2154;x
cedor;anbennar1446;12209;2044;x
van;unused103;11889;4252;x
havafony;havafony;9204;3620;x
lelanan;unused71;9303;3524;x
sahanafo;sovalelnosy_sea;9093;3542;x
tibokyuye;tibokyuye_point;9114;3626;x
torapilefa;anbennar1461;9221;3446;x
alafo;alafo;9274;3612;x
enampireni;cape_loranakodro;9125;3405;x
jakavafo;sovalelnosy_sea;8957;3466;x
mahinosy;mahinosy;9195;3399;x
mboikata;anbennar1461;9271;3423;x
lanazok;unused71;9332;3460;x
loranakodro;anbennar1461;9294;3402;x
kiankabosy;kiankabosy;9387;3402;x
havivoka;cape_loranakodro;9326;3335;x
ndyuye;ndyuye;9445;3335;x
torapivolo;ibidintely_coast;9419;3260;x
ibidintely;ibidintely_coast;9474;3239;x
serakavy;serakavy;9568;3309;x
mirenimbo;mirenimbo;9655;3327;x
sikajiola;ibidintely_coast;9579;3193;x
oronsinoma;anbennar1603;9637;3149;x
rambatsan;anbennar1460;9757;3233;x
amezahva;amezahva;9617;2916;x
afokata;afokata;9730;2852;x
angoitra;angoitra;9733;2975;x
dirajikody;dirajikody;9757;2887;x
antsampisy;anbennar4333;9844;2919;x
afampitro;unused70;9725;2797;x
sovalytond;unused70;9704;2745;x
afahandro;afahandro;9952;2751;x
teramzadai;anbennar4346;9818;2780;x
tebovany;tebovany;9838;2751;x
ofavi;anbennar1602;9783;2855;x
wakookombe;anbennar1342;11787;3798;x
joenghoenggong;anbennar1614;11825;3545;x
kiyagibo;anbennar1342;11840;3673;x
indeg_magrep;indeg_magrep;11630;4246;x
tnismot;tnismot;11525;4199;x
sooasda;horn_of_sarhal;11650;4336;x
masphire;masphire;11819;4304;x
vishdezpa;vishdezpa;11895;4170;x
neekshaff;anbennar1343;11822;4039;x
jezarpizu;black_flag_sea;11709;4377;x
rat_arapet;tiger_coast;11453;4231;x
waarakayba;anbennar1456;10795;3114;x
deghudi_biyo;deghudi_biyo;11179;3015;x
haqishabaqa;unused122;11063;2937;x
qasri_mjeeda;unused121;10944;2980;x
qasri_ila;anbennar1335;11185;2887;x
qasri_bariga;qasri_bariga;11258;2890;x
fushindi_tuur;unused86;10935;2881;x
cusuub_qasr;anbennar1448;11421;2279;x
qasri_maroodiqya;unused123;11211;2657;x
qasri_aqoon;unused124;11412;2486;x
qasri_guulwashi;unused87;11089;2713;x
dagaalsh_baashi;anbennar1448;11470;2311;x
anbennar6758;katal_koraim;5085;2387;x
anbennar6760;anbennar6760;9189;5529;x
anbennar6761;anbennar6761;9242;5319;x
humacs_island;gulf_of_ouord;8997;5668;x
anbennar6850;unusedland162;14402;3929;x
anbennar6863;anbennar3632;14400;5340;x
anbennar6864;anbennar6864;14312;5034;x
anbennar6865;anbennar1402;14184;4880;x
anbennar6866;anbennar6866;14144;4816;x
anbennar6868;anbennar3649;13760;4740;x
anbennar6869;anbennar6869;14068;4758;x
anbennar6870;anbennar1402;14173;4790;x
anbennar6872;anbennar3637;14757;5186;x
anbennar6873;anbennar1368;14536;5002;x
anbennar6874;anbennar1368;14443;4944;x
anbennar6875;anbennar6875;14592;4918;x
anbennar6876;anbennar3658;14749;5081;x
anbennar6877;anbennar6877;14859;5031;x
anbennar6878;anbennar6878;14961;5087;x
anbennar6879;anbennar6879;14990;5095;x
anbennar6880;anbennar6880;14970;5052;x
anbennar6881;anbennar6881;14949;5020;x
anbennar6883;anbennar6883;14894;4962;x
anbennar6884;anbennar3659;14859;4918;x
anbennar6885;anbennar3657;14772;4860;x
anbennar6886;anbennar6886;14702;4877;x
anbennar6890;anbennar6890;14882;4912;x
anbennar6891;anbennar3657;14816;4854;x
anbennar6893;anbennar6893;14731;4854;x
anbennar6894;anbennar3655;14402;4819;x
anbennar6895;anbennar3655;14397;4714;x
anbennar6896;anbennar3655;14461;4813;x
anbennar6897;anbennar6897;14516;4839;x
anbennar6898;anbennar6898;14574;4857;x
anbennar6899;anbennar6899;14629;4851;x
anbennar6901;anbennar6901;14452;4770;x
anbennar6903;anbennar6903;14440;4740;x
anbennar6907;anbennar6907;14292;4772;x
anbennar6908;anbennar6908;14338;4738;x
anbennar6909;anbennar6909;14216;4720;x
anbennar6912;anbennar6912;14053;4694;x
anbennar6915;anbennar6915;14013;4688;x
anbennar6917;anbennar6917;13949;4676;x
anbennar6918;anbennar6918;13867;4618;x
anbennar6919;anbennar6919;13844;4610;x
anbennar6920;anbennar3651;13832;4618;x
anbennar6921;anbennar3651;13792;4595;x
anbennar6922;anbennar6922;13739;4583;x
anbennar6925;anbennar3650;13678;4537;x
anbennar6926;anbennar6926;13675;4487;x
anbennar6929;anbennar1417;13669;4429;x
anbennar6930;anbennar1417;13620;4383;x
anbennar6934;anbennar6934;13591;4321;x
anbennar6935;anbennar6935;13570;4327;x
anbennar6936;anbennar6936;13591;4417;x
anbennar6939;anbennar6939;13536;4176;x
anbennar6940;anbennar6940;13506;4124;x
anbennar6942;anbennar3581;13442;4077;x
anbennar6944;anbennar3581;13431;4013;x
anbennar6948;anbennar3575;13509;3859;x
anbennar6949;anbennar3575;13466;3873;x
anbennar6951;anbennar6951;13381;3981;x
anbennar6952;anbennar3575;13396;3920;x
anbennar6953;anbennar3568;13280;3868;x
anbennar6954;anbennar3575;13422;3891;x
anbennar6955;anbennar3573;13512;3833;x
anbennar6956;anbennar6956;13504;3798;x
anbennar6957;anbennar6957;13573;3786;x
anbennar6958;anbennar6958;13570;3734;x
anbennar6959;anbennar3570;13573;3702;x
anbennar6960;anbennar6960;13623;3751;x
anbennar6961;anbennar3572;13646;3679;x
anbennar6962;anbennar6962;13602;3649;x
anbennar6963;anbennar3565;13669;3574;x
anbennar6964;anbennar3565;13634;3556;x
anbennar6965;anbennar6965;13623;3530;x
anbennar6966;anbennar6966;13693;3507;x
anbennar6967;anbennar3573;13556;3839;x
anbennar6968;anbennar6968;13629;3792;x
anbennar6971;anbennar3574;13704;3713;x
anbennar6982;anbennar3572;13675;3652;x
anbennar6984;anbennar3569;13698;3574;x
anbennar6985;anbennar3569;13736;3521;x
anbennar7028;anbennar3591;13952;3030;x
